الكود,الاسم,المالك,وحدة القياس,الرصيد الافتتاحي,حد إعادة الطلب
"ITEM001","Stainless steel 316L Elbow 14"" dia, 90 deg. Sch 10S","سلطة المياه","قطعة",27,0
"ITEM002","Stainless steel 316L Elbow 12"" dia, 90 deg. Sch 10S","سلطة المياه","قطعة",2,0
"ITEM003","Stainless steel 316L Elbow 10"" dia, 90 deg. Sch 10S","مصلحة المياه","قطعة",13,0
"ITEM004","Stainless steel Tee 316L 14""X14""X14"" dia, Sch 10S","سلطة المياه","قطعة",12,0
"ITEM005","Stainless steel Tee 316L 14""X14""X8"" dia, Sch 10S","مصلحة المياه","قطعة",1,0
"ITEM006","Stainless steel Tee 316L 14""X14""X12"" dia, Sch 10S","سلطة المياه","قطعة",1,0
"ITEM007","Stainless steel Tee 316L 12""X12""X12"" dia, Sch 10S","مصلحة المياه","قطعة",6,0
"ITEM008","Stainless steel Flange DN500, PN 16 dia, Flange drilling EN 1092-1","سلطة المياه","قطعة",5,0
"ITEM009","Stainless steel Flange DN400, PN 16 dia, Flange drilling EN 1092-1","مصلحة المياه","قطعة",6,0
"ITEM010","Stainless steel Flange DN350, PN 25, Flange drilling EN 1092-1","سلطة المياه","قطعة",22,0
"ITEM011","Stainless steel Flange DN350, PN 16, Flange drilling EN 1092-1","مصلحة المياه","قطعة",29,0
"ITEM012","Stainless steel Flange DN300, PN 25, Flange drilling EN 1092-1","سلطة المياه","قطعة",4,0
"ITEM013","Stainless steel Flange DN300, PN 16, Flange drilling EN 1092-1","مصلحة المياه","قطعة",1,0
"ITEM014","Stainless steel Flange DN250, PN 25, Flange drilling EN 1092-1","سلطة المياه","قطعة",3,0
"ITEM015","Stainless steel Flange DN250, PN 16, Flange drilling EN 1092-1","مصلحة المياه","قطعة",5,0
"ITEM016","Stainless steel Flange DN150, PN 16, Flange drilling EN 1092-1","سلطة المياه","قطعة",27,0
"ITEM017","Stainless steel Flange DN100, PN 16, Flange drilling EN 1092-1","مصلحة المياه","قطعة",33,0
"ITEM018","Stainless steel Flange DN50, PN 16, Flange drilling EN 1092-1","سلطة المياه","قطعة",17,0
"ITEM019","Dismantling Joint DN400, EN1092/PN25","مصلحة المياه","قطعة",2,0
"ITEM020","Dismantling Joint DN400, EN1092/PN16","سلطة المياه","قطعة",5,0
"ITEM021","Dismantling Joint DN350, EN1092/PN25","مصلحة المياه","قطعة",10,0
"ITEM022","Dismantling Joint DN350, EN1092/PN16","سلطة المياه","قطعة",14,0
"ITEM023","Dismantling Joint DN300, EN1092/PN25","مصلحة المياه","قطعة",4,0
"ITEM024","Dismantling Joint DN300, EN1092/PN16","سلطة المياه","قطعة",2,0
"ITEM025","Dismantling Joint DN250, EN1092/PN16","مصلحة المياه","قطعة",5,0
"ITEM026","Dismantling Joint DN200, EN1092/PN25","سلطة المياه","قطعة",1,0
"ITEM027","Dismantling Joint DN200, EN1092/PN16","مصلحة المياه","قطعة",1,0
"ITEM028","Dismantling Joint DN150, EN1092/PN16","سلطة المياه","قطعة",31,0
"ITEM029","Dismantling Joint DN100, EN1092/PN16","مصلحة المياه","قطعة",31,0
"ITEM030","Dismantling Joint DN50, EN1092/PN16","سلطة المياه","قطعة",3,0
"ITEM031","Triple Air Release Valve DN65 , PN16","مصلحة المياه","قطعة",36,0
"ITEM032","Gate Valve DN 200 mm, EN1092/PN16","سلطة المياه","قطعة",2,0
"ITEM033","Gate Valve DN 150 mm, EN1092/PN16","مصلحة المياه","قطعة",22,0
